employeeID,firstName,lastName,gender,address,phoneNumber,groupID,salary
rwwidlvezd,Carlynne,Nicky,Male,"2643 Hwy 280 West, Alexander City AL 35010",491,1,47163.543
ucpdcugfew,Maggee,Nicko,Male,"350 E Fairmount Ave, Lakewood NY 14750",452,2,78331.266
zrommyiifh,Tressa,Morty,Female,"10040 County Road 48, Fairhope AL 36533",975,0,134022.45
jqheheflqk,Perl,Chicky,Male,"2465 Hempstead Turnpike, East Meadow NY 11554",743,2,148133.9
muwrxnsach,Olwen,Conny,Male,"27520 Hwy 98, Daphne AL 36526",296,2,145428.66
crwyhormsz,Sunshine,Mikey,Female,"420 Buckland Hills Dr, Manchester CT 6040",256,1,99479.27
vgjlqwjwwe,Annamarie,Arvy,Female,"1180 Fall River Avenue, Seekonk MA 2771",360,0,80267.7
xhehscdkbw,Yvette,Cosme,Male,"250 Hartford Avenue, Bellingham MA 2019",866,0,56039.246
pwivrpimaf,Brenda,Farlie,Male,"3222 State Rt 11, Malone NY 12953",174,0,36151.316
axcmomatoq,Tera,Aldridge,Male,"901 Route 110, Farmingdale NY 11735",482,0,111963.48
nfrxcctotu,Janot,Agosto,Female,"315 Foxon Blvd, New Haven CT 6513",307,0,41722.23
zlzuktwibm,Waly,Artemas,Male,"279 Troy Road, East Greenbush NY 12061",800,1,148538.3
zukrxxbgro,Karlyn,Dionisio,Male,"680 Connecticut Avenue, Norwalk CT 6854",860,1,16926.277
qdhlfmepzc,Olenka,Conroy,Female,"180 River Rd, Lisbon CT 6351",972,2,30473.934
wxdkvkijsr,Leta,Pascal,Female,"295 Plymouth Street, Halifax MA 2338",346,2,136623.69
bukirhpzkt,Ida,Garfield,Female,"301 Massachusetts Ave, Lunenburg MA 1462",566,0,42692.547
rknfpcaoqc,Britney,Tomaso,Female,"4538 Us Hwy 231, Wetumpka AL 36092",663,2,148630.75
cquhvmtjvg,Fawnia,Ewan,Female,"11 Jungle Road, Leominster MA 1453",944,0,14377.42
lrfneimlsr,Yoshi,Nat,Female,"180 River Rd, Lisbon CT 6351",947,0,112676.95
odtkpwdlto,Eva,Roosevelt,Female,"1972 Hwy 431, Boaz AL 35957",886,2,21797.059
mtmprcctat,Timothea,Toby,Male,"41301 US Hwy 280, Sylacauga AL 35150",130,0,95115.31
qvipwwpqoh,Beverley,Bartolomeo,Male,"7155 State Rt 12 S, Lowville NY 13367",666,2,39032.082
ohiisgaifj,Honey,Ferguson,Male,"5783 So Transit Road, Lockport NY 14094",322,2,60537.74
ghlvwcbpfb,Arlinda,Collin,Male,"164 Danbury Rd, New Milford CT 6776",242,0,19901.863
pvvmanvjto,Jamima,Reinold,Female,"1801 Hwy 78 East, Jasper AL 35501",612,0,113361.3
jaiqmvlyas,Aubrie,Lay,Male,"8551 Whitfield Ave, Leeds AL 35094",539,0,124202.5
rfaufahyuy,Carmon,Tades,Female,"30 Catskill, Catskill NY 12414",866,2,92666.45
nlelipgjhf,Audrey,Clemens,Male,"630 Coonial Promenade Pkwy, Alabaster AL 35007",709,0,123780.98
wzfqordlvz,Dennie,Gal,Male,"1775 Washington St, Hanover MA 2339",130,1,114858.31
zpeggmymrn,Alberta,Ara,Female,"2200 Sparkman Drive, Huntsville AL 35810",569,1,33137.58
kndbuyxnka,Yevette,Foster,Male,"1608 W Magnolia Ave, Geneva AL 36340",399,1,110612.64
fgicfkoyxi,Livvy,Dalston,Male,"1950 W Main St, Centre AL 35960",762,1,149293.55
pfpkghqvtj,Adena,Flory,Female,"233 5th Ave Ext, Johnstown NY 12095",291,2,36566.387
tskfnlfslo,Murial,Harper,Male,"1095 Industrial Pkwy, Saraland AL 36571",545,2,100270.49
