memberID,firstName,lastName,dob,address,phoneNumber,rewardPoints
bfzlnttjbx,Nannette,Duncan,9/4/2967,"1365 Boston Post Road, Milford CT 6460",1743939584,184
btyodxbgku,Gerta,Giacobo,19/2/2091,"66-4 Parkhurst Rd, Chelmsford MA 1824",2923594752,82
azohvuhccu,Diane-Marie,Krisha,17/9/2631,"67 Newton Rd, Danbury CT 6810",7340870144,81
jbyoqwygud,Delinda,Alva,3/5/2097,"2041 Douglas Avenue, Brewton AL 36426",3093643264,165
gsgzmetcxs,Kirstyn,Hillery,18/3/2349,"1706 Military Street South, Hamilton AL 35570",6173308416,121
cruwtvlcec,Lissie,Bax,3/8/2268,"3300 South Oates Street, Dothan AL 36301",2064699136,138
drfdduhxou,Simona,Mikey,28/10/2502,"901 Route 110, Farmingdale NY 11735",1661393536,64
grgpzmtgkn,Jobyna,Northrup,22/8/2780,"2300 Dixwell Ave, Hamden CT 6514",8339355136,196
yrjglalysb,Rosita,Codi,2/3/2495,"655 Boston Post Rd, Old Saybrook CT 6475",8684533760,25
gmyoyabbim,Laetitia,Garrard,6/4/2005,"690 Hwy 78, Sumiton AL 35148",4166268672,97
rwdmtatrsn,Corabelle,Trstram,16/10/2698,"3164 Berlin Turnpike, Newington CT 6111",9119626240,138
scltofksym,Claire,Garreth,5/8/2723,"5783 So Transit Road, Lockport NY 14094",2631216384,140
qmnntsakkg,Nelia,Eugenio,1/7/2353,"3300 South Oates Street, Dothan AL 36301",5216626688,98
vykytqwnns,Anselma,Damian,24/7/1979,"1717 South College Street, Auburn AL 36830",2318965504,139
xhchnnfsek,Carmine,Herculie,22/5/2629,"7100 Aaron Aronov Drive, Fairfield AL 35064",7845042688,127
ncnbesfuky,Sissy,Shelton,13/11/2460,"2473 Hackworth Road, Adamsville AL 35005",7050345984,116
wgnewipxiq,Scarlet,Welch,20/5/2544,"1916 Center Point Rd, Center Point AL 35215",6180323328,133
kbckmvqpdm,Ashli,Dionysus,22/5/2924,"42417 Hwy 195, Haleyville AL 35565",2198095360,78
yvijskiskt,Cristina,Berk,21/5/2649,"312 Palisades Blvd, Birmingham AL 35209",6775849472,82
vagupsdcmz,Adi,Geordie,26/8/2412,"1100 New Haven Road, Naugatuck CT 6770",2361899520,40
gxavgjhcia,Adrienne,Noam,3/2/2766,"1420 Us 231 South, Troy AL 36081",4691387904,191
